file,status,variant,rank,layers,width,microbatch,liger,optimizer_implementation,step_ms,tokens_per_second,peak_allocated_gib,parameters,initialization_ms,commit
base-B-r0.5-mb4-native-grouped-s42.json,complete,B,0.5,12,1024,4,False,grouped,355.84926791489124,92083.93261172948,4.763987064361572,201844012,476.1353097856045,20119e0d7e8741ecee012249f18e8026523fe06f
base-dense-r0.5-mb1-native-grouped-s42.json,complete,dense,0.5,12,1024,1,False,grouped,417.092377319932,78562.9327431379,4.16251277923584,257188864,100.96810013055801,20119e0d7e8741ecee012249f18e8026523fe06f
base-dense-r0.5-mb1-native-reference-s42.json,complete,dense,0.5,12,1024,1,False,reference,446.2966825813055,73422.01199573412,4.19010066986084,257188864,106.39297217130661,20119e0d7e8741ecee012249f18e8026523fe06f
base-dense-r0.5-mb16-native-grouped-s42.json,complete,dense,0.5,12,1024,16,False,grouped,257.2665475308895,127369.86423494157,11.25801420211792,257188864,108.50364714860916,20119e0d7e8741ecee012249f18e8026523fe06f
base-dense-r0.5-mb16-native-reference-s42.json,complete,dense,0.5,12,1024,16,False,reference,286.6054065525532,114331.41079974237,11.28877592086792,257188864,104.0286272764206,20119e0d7e8741ecee012249f18e8026523fe06f
base-dense-r0.5-mb32-liger-grouped-s42.json,complete,dense,0.5,12,1024,32,True,grouped,257.19382613897324,127405.88680531454,3.522758960723877,257188864,3450.6947472691536,20119e0d7e8741ecee012249f18e8026523fe06f
base-dense-r0.5-mb32-liger-reference-s42.json,complete,dense,0.5,12,1024,32,True,reference,286.1106377094984,114529.12475440641,3.552055835723877,257188864,3416.765969246626,20119e0d7e8741ecee012249f18e8026523fe06f
base-dense-r0.5-mb32-native-grouped-s42.json,complete,dense,0.5,12,1024,32,False,grouped,250.54210051894188,130788.40115955213,18.03434658050537,257188864,93.64722669124603,20119e0d7e8741ecee012249f18e8026523fe06f
base-dense-r0.5-mb32-native-reference-s42.json,complete,dense,0.5,12,1024,32,False,reference,280.1962289959192,116946.61543388537,18.03971767425537,257188864,102.19859331846237,20119e0d7e8741ecee012249f18e8026523fe06f
base-dense-r0.5-mb4-native-grouped-s42.json,complete,dense,0.5,12,1024,4,False,grouped,286.64066083729267,114317.34739976801,5.432287693023682,257188864,113.43404650688171,20119e0d7e8741ecee012249f18e8026523fe06f
